Use_Case,Task_Class,Highest_Validation_Stage,Consequence_of_Error,Consequence_of_Error_Criteria,Consequence_of_Error_Rationale,In_Corpus_Anchor_Count,Contextual_Anchor_Count,Prospective_or_Validation_Study_Count,Bubble_Size_Criterion,Principal_Limitation,Stage_Rationale,Why_Not_Higher,Likely_Workflow_Value,Workflow_Value_Criteria,Workflow_Value_Rationale,Corpus_Status
Prostate MRI reader assistance,Perception AI,5,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","False-negative or false-positive reader support could alter lesion detection, biopsy referral, or cancer work-up.",5,1,2,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Needs local calibration and pathway-level impact evidence,"Stage 5 is supported by human-plus-AI reader studies showing effects on diagnostic performance or reading efficiency (PMIDs 33787537, 37039688, and 40512493), with international multicentre validation supplied by PMID 38876123.","No evidence yet links implementation to patient, service, or economic outcomes sufficiently broadly to support routine-deployment decisions; local calibration and pathway evaluation remain necessary.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.","High: common diagnostic bottleneck where reader assistance can affect reporting workload, triage, and consistency.",In-corpus anchors plus contextual exemplar(s)
Prostate digital pathology,Perception AI,5,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","Detection or grading errors could alter a cancer diagnosis, risk classification, or treatment recommendation.",9,0,9,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,"Scanner, stain, and local workflow calibration remain critical","Stage 5 is supported by supervised AI-assistance and implementation studies (PMIDs 33328045, 33180129, 32759979, 36538386, and 40036728), reinforced by multiple multicentre diagnostic validations.","Patient- and service-level benefit has not been established across scanners, stains, laboratories, and health systems sufficiently to support Stage 6.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.","High: biopsy-pathology workflows are high-volume and AI may affect detection support, grading consistency, and ancillary-test use.",In-corpus anchors only
Selected bladder cystoscopy systems,Perception AI,4,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","Missed or falsely highlighted lesions could alter biopsy, resection, or surveillance decisions during a real-time procedure.",3,0,3,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Needs broader prospective evaluation and downstream outcome data,"Stage 4 is supported by prospective real-time intended-setting feasibility in clinic cystoscopy and TURBT (PMID 37432899), following multicentre technical validation (PMIDs 34079004 and 34473310).","The pilot demonstrated live integration and per-frame performance but not a controlled improvement in clinician decisions, missed-lesion rates, resection quality, or service workflow.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.",High: cystoscopy is a common surveillance/diagnostic workflow where lesion-detection assistance could affect real-time clinical throughput and missed-lesion risk.,In-corpus anchors only
PSMA PET quantification and lesion support,Perception AI,3,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.",Incorrect lesion detection or burden estimation could alter staging and downstream oncological treatment selection.,2,1,2,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Limited prospective and outcome-linked evidence,"Stage 3 is supported by multicentre validation of automated lesion detection, segmentation, and quantification (PMIDs 34463809 and 38095671).","Prospective intended-setting evaluation, supervised workflow impact, and outcome-linked evidence remain absent.",Moderate,"Moderate workflow value indicates narrower, adjunctive, counselling-oriented, lower-throughput, or less operationally mature support roles.",Moderate: clinically important but narrower oncology-imaging adjunct with limited prospective workflow evidence.,In-corpus anchors plus contextual exemplar(s)
Micro-ultrasound lesion localization,Perception AI,2,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.",Incorrect localization could redirect targeted biopsy sampling and affect cancer detection.,1,0,0,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Evidence base remains thin and modality uptake is limited,Stage 2 is supported by single-institution internal cross-validation in a clinically recognizable lesion-localization task with comparison against expert urologists (PMID 40859774).,"There is no external, multicentre, or other transportability-oriented model validation; prospective image acquisition alone does not satisfy Stage 3.",Moderate,"Moderate workflow value indicates narrower, adjunctive, counselling-oriented, lower-throughput, or less operationally mature support roles.","Moderate: potential targeted-biopsy support, but modality uptake and clinical workflow evidence remain limited.",In-corpus anchors only
Renal radiomics and renal-mass prediction,Perception AI,3,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","Misclassification could influence surveillance, biopsy, ablation, or surgery for a renal mass.",2,0,1,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,"Heterogeneous labels, weak transportability, and limited prospective testing","Stage 3 is supported by multicentre development and test-cohort validation of a renal-cell-carcinoma prognostic model (PMID 37389608), alongside single-centre expert-comparator evidence (PMID 34968146).","The evidence remains retrospective and heterogeneous, without prospective intended-setting evaluation or demonstrated workflow impact.",Moderate,"Moderate workflow value indicates narrower, adjunctive, counselling-oriented, lower-throughput, or less operationally mature support roles.","Moderate: potential decision support, but current evidence is heterogeneous, retrospective, and weakly transportable.",In-corpus anchors only
UTI triage and stewardship support,Judgment AI,5,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.",A false triage or antimicrobial recommendation could delay infection recognition or alter antibiotic prescribing.,1,1,1,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Needs site-level transportability and stewardship governance,Stage 5 is supported by prospective multisite deployment of an AI-informed urinalysis decision algorithm with demonstrated laboratory and stewardship workflow effects (PMID 37227272).,"Evidence is not yet sufficient across settings, governance arrangements, patient outcomes, and economic endpoints to support routine-deployment decisions at Stage 6.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.",High: high-volume outpatient problem where triage and antibiotic-matching support can affect service use and stewardship decisions.,In-corpus anchors plus contextual exemplar(s)
Functional urology and neurourology prediction,Judgment AI,3,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","Incorrect predictions could influence diagnostic escalation, counselling, or selection of invasive and non-invasive treatment.",3,0,1,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Noisy phenotypes and sparse prospective evaluation,"Stage 3 is supported by external validation with expert comparison for objective and patient-reported treatment outcomes (PMID 39242047), while PMIDs 33205846 and 38626440 provide earlier internal evidence.",No anchor provides prospective intended-setting evaluation or supervised workflow-impact evidence.,Moderate,"Moderate workflow value indicates narrower, adjunctive, counselling-oriented, lower-throughput, or less operationally mature support roles.","Moderate: plausible triage/counselling value, but noisy phenotypes and sparse prospective evidence limit workflow impact.",In-corpus anchors only
Surgical video analytics and feedback,Perception AI,3,Moderate,"The tool is advisory, documentary, educational, audit, training, or counselling support, and an erroneous output is normally reviewable before a patient-facing action.","The mapped role is retrospective audit, training, or feedback that is reviewed before it changes a patient-facing action.",4,2,1,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Not ready for credentialing or unsupervised intraoperative decisions,Stage 3 is supported by phase-recognition and skill-evaluation validation across an 18-centre educational network (PMID 40640619); the remaining anchors provide technical development or narrative context.,"There is no prospective evaluation showing effects on live intraoperative decisions, credentialing, patient safety, or service outcomes.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.","High: scalable audit, training, and feedback value in operative workflows, although not ready for credentialing or autonomous decisions.",In-corpus anchors plus contextual exemplar(s)
MDT and pathway decision support,Judgment AI,4,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.",Incorrect pathway triage could delay multidisciplinary review or redirect cancer investigation and treatment.,0,1,0,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Staging is based on a contextual exemplar; broader corpus-supported prospective evidence is needed,Stage 4 is assigned from the explicitly contextual intended-setting pathway-triage exemplar PMID 40590412; no in-corpus anchor contributes to this position.,"The evidence is a purposively identified contextual exemplar rather than corpus-supported, multisite evidence of supervised workflow impact.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.",High: contextual pathway-triage exemplar with potential to reduce full multidisciplinary-team workload while preserving escalation.,Contextual-only exemplar
