Task_Class,Clinical_Task,Highest_Validation_Stage,Consequence_of_Error,Consequence_of_Error_Criteria,Consequence_of_Error_Rationale,Likely_Workflow_Value,Workflow_Value_Criteria,Workflow_Value_Rationale,Corpus_Status,In_Corpus_Anchor_Count,Contextual_Anchor_Count,Prospective_or_Validation_Study_Count,Bubble_Size_Criterion,Current_Position,Principal_Limitation
Perception AI,Prostate MRI reader assistance,5,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","False-negative or false-positive reader support could alter lesion detection, biopsy referral, or cancer work-up.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.","High: common diagnostic bottleneck where reader assistance can affect reporting workload, triage, and consistency.",In-corpus anchors plus contextual exemplar(s),5,1,2,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Most mature current candidate for implementation planning,Needs local calibration and pathway-level impact evidence
Perception AI,Prostate digital pathology,5,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","Detection or grading errors could alter a cancer diagnosis, risk classification, or treatment recommendation.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.","High: biopsy-pathology workflows are high-volume and AI may affect detection support, grading consistency, and ancillary-test use.",In-corpus anchors only,9,0,9,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Implementation-planning candidate in selected workflows,"Scanner, stain, and local workflow calibration remain critical"
Perception AI,Selected bladder cystoscopy systems,4,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","Missed or falsely highlighted lesions could alter biopsy, resection, or surveillance decisions during a real-time procedure.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.",High: cystoscopy is a common surveillance/diagnostic workflow where lesion-detection assistance could affect real-time clinical throughput and missed-lesion risk.,In-corpus anchors only,3,0,3,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Implementation-stage candidate,Needs broader prospective evaluation and downstream outcome data
Perception AI,PSMA PET quantification and lesion support,3,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.",Incorrect lesion detection or burden estimation could alter staging and downstream oncological treatment selection.,Moderate,"Moderate workflow value indicates narrower, adjunctive, counselling-oriented, lower-throughput, or less operationally mature support roles.",Moderate: clinically important but narrower oncology-imaging adjunct with limited prospective workflow evidence.,In-corpus anchors plus contextual exemplar(s),2,1,2,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Promising adjunct with multicentre technical validation,Limited prospective and outcome-linked evidence
Perception AI,Micro-ultrasound lesion localization,2,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.",Incorrect localization could redirect targeted biopsy sampling and affect cancer detection.,Moderate,"Moderate workflow value indicates narrower, adjunctive, counselling-oriented, lower-throughput, or less operationally mature support roles.","Moderate: potential targeted-biopsy support, but modality uptake and clinical workflow evidence remain limited.",In-corpus anchors only,1,0,0,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Emerging adjunct rather than a deployable workflow,Evidence base remains thin and modality uptake is limited
Perception AI,Renal radiomics and renal-mass prediction,3,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","Misclassification could influence surveillance, biopsy, ablation, or surgery for a renal mass.",Moderate,"Moderate workflow value indicates narrower, adjunctive, counselling-oriented, lower-throughput, or less operationally mature support roles.","Moderate: potential decision support, but current evidence is heterogeneous, retrospective, and weakly transportable.",In-corpus anchors only,2,0,1,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Exploratory to retrospective,"Heterogeneous labels, weak transportability, and limited prospective testing"
Judgment AI,UTI triage and stewardship support,5,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.",A false triage or antimicrobial recommendation could delay infection recognition or alter antibiotic prescribing.,High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.",High: high-volume outpatient problem where triage and antibiotic-matching support can affect service use and stewardship decisions.,In-corpus anchors plus contextual exemplar(s),1,1,1,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Strong workflow-support use case,Needs site-level transportability and stewardship governance
Judgment AI,Functional urology and neurourology prediction,3,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.","Incorrect predictions could influence diagnostic escalation, counselling, or selection of invasive and non-invasive treatment.",Moderate,"Moderate workflow value indicates narrower, adjunctive, counselling-oriented, lower-throughput, or less operationally mature support roles.","Moderate: plausible triage/counselling value, but noisy phenotypes and sparse prospective evidence limit workflow impact.",In-corpus anchors only,3,0,1,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Promising but inconsistent,Noisy phenotypes and sparse prospective evaluation
Perception AI,Surgical video analytics and feedback,3,Moderate,"The tool is advisory, documentary, educational, audit, training, or counselling support, and an erroneous output is normally reviewable before a patient-facing action.","The mapped role is retrospective audit, training, or feedback that is reviewed before it changes a patient-facing action.",High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.","High: scalable audit, training, and feedback value in operative workflows, although not ready for credentialing or autonomous decisions.",In-corpus anchors plus contextual exemplar(s),4,2,1,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,"Useful for audit, training, and feedback",Not ready for credentialing or unsupervised intraoperative decisions
Judgment AI,MDT and pathway decision support,4,High,"An erroneous output could plausibly alter diagnosis, treatment selection, a procedural or laboratory action, antimicrobial prescribing, or high-stakes pathway escalation before routine clinician interception.",Incorrect pathway triage could delay multidisciplinary review or redirect cancer investigation and treatment.,High,"High workflow value indicates a plausible effect on high-volume, time-sensitive, resource-intensive, or pathway-level clinical/laboratory work if implemented with oversight.",High: contextual pathway-triage exemplar with potential to reduce full multidisciplinary-team workload while preserving escalation.,Contextual-only exemplar,0,1,0,Unique in-corpus anchor studies marked Prospective=Yes or External_or_Multicentre_Validation=Yes in Supplementary Data 7.,Contextual implementation exemplar rather than corpus-supported maturity tier,Staging is based on a contextual exemplar; broader corpus-supported prospective evidence is needed
